time,amount,category
2024-12-01 04:54:35,8,C
2024-05-29 16:20:10,10,B
2024-06-03 12:15:08,12,C
2024-11-13 23:45:42,0,C
2024-11-16 01:30:51,2,A
2024-12-26 06:07:02,5,C
2024-08-07 19:39:06,15,A
2024-01-28 21:54:07,2,C
2024-03-13 23:12:51,13,B
2024-02-18 18:57:04,1,A
2024-01-17 14:51:01,4,A
2024-02-05 17:08:53,5,C
2024-10-26 02:00:12,8,B
2024-10-12 00:47:44,8,B
2024-03-28 10:46:58,9,C
2024-11-13 09:58:05,9,C
2024-09-08 07:11:16,11,C
2024-11-29 00:41:27,0,A
2024-09-19 08:41:54,5,C
2024-05-03 09:17:45,13,A
2024-06-28 10:23:34,5,B
2024-07-26 22:23:21,7,B
2024-11-29 12:39:13,3,B
2024-04-26 15:48:53,19,C
2024-02-14 01:38:21,1,B
2024-06-07 08:57:43,0,A
2024-04-03 00:22:29,12,C
2024-05-03 21:56:41,12,C
2024-09-15 04:39:02,17,B
2024-02-21 20:54:18,11,A
2024-03-18 17:21:37,20,A
2024-08-09 16:16:10,20,C
2024-09-14 10:31:57,20,B
2024-09-14 09:22:49,10,A
2024-11-11 03:50:50,16,B
2024-06-01 12:44:52,20,B
2024-04-10 06:45:05,13,B
2024-08-27 10:33:08,10,C
2024-09-19 20:47:58,4,C
2024-06-11 21:50:14,7,C
2024-11-10 13:48:22,17,B
2024-10-16 04:11:39,5,A
2024-08-20 15:40:57,14,B
2024-05-27 16:45:37,5,B
2024-01-25 10:18:57,19,C
2024-09-27 03:31:18,11,A
2024-08-12 07:13:27,2,C
2024-07-27 12:21:29,19,A
2024-01-22 01:28:39,10,B
2024-07-11 05:01:16,12,A
2024-07-09 21:56:04,17,C
2024-11-03 01:45:34,20,B
2024-02-23 01:37:32,18,A
2024-01-07 14:06:35,10,A
2024-03-02 12:05:09,18,B
2024-05-11 09:30:37,20,B
2024-07-23 10:51:54,6,A
2024-06-16 00:01:03,9,B
2024-02-10 08:27:49,3,B
2024-10-22 20:10:23,5,A
2024-07-17 19:48:50,15,A
2024-08-29 05:36:18,16,B
2024-09-06 00:17:36,2,B
2024-06-03 21:05:12,19,C
2024-07-19 19:45:50,7,A
2024-09-14 12:26:42,6,A
2024-11-13 01:08:13,14,C
2024-03-08 15:32:10,11,C
2024-08-28 12:28:06,17,A
2024-03-20 22:33:37,14,C
2024-03-06 03:05:24,19,B
2024-06-24 22:45:23,19,B
2024-03-17 18:34:23,0,B
2024-08-10 20:38:10,13,C
2024-06-22 09:05:25,1,B
2024-03-30 03:51:43,9,B
2024-10-05 12:25:08,0,A
2024-11-05 23:10:38,11,C
2024-04-30 23:21:51,17,C
2024-01-14 20:27:04,1,B
2024-12-19 11:14:20,15,B
2024-08-15 05:39:12,20,A
2024-10-24 16:51:44,12,C
2024-08-31 08:35:25,14,C
2024-03-20 12:22:20,1,B
2024-12-23 06:40:34,14,C
2024-11-14 04:10:34,19,B
2024-12-18 00:43:46,17,C
2024-06-24 19:31:53,2,A
2024-10-24 18:48:43,10,C
2024-05-28 23:29:30,16,A
2024-09-29 20:59:32,11,C
2024-06-02 17:06:03,1,A
2024-09-18 03:49:12,6,A
2024-10-06 18:14:16,18,A
2024-07-19 09:29:47,1,B
2024-08-23 23:13:27,2,C
2024-06-26 20:33:21,17,B
2024-10-17 20:21:00,8,B
2024-08-14 03:52:35,18,B
2024-05-29 19:27:18,10,C
2024-01-12 02:26:52,8,A
2024-06-29 00:50:06,14,C
2024-12-22 21:10:26,15,A
2024-12-04 13:25:31,13,B
2024-08-08 11:12:41,10,C
2024-06-25 18:20:19,11,A
2024-04-17 21:38:43,12,B
2024-08-24 16:22:57,6,A
2024-05-22 06:16:14,5,C
2024-08-23 00:21:04,4,B
2024-11-08 07:55:59,20,C
2024-06-26 10:23:11,10,C
2024-01-13 07:21:44,7,B
2024-03-31 18:50:33,9,B
2024-05-06 21:43:56,15,B
2024-09-26 01:57:53,10,B
2024-08-10 14:13:18,3,C
2024-11-02 06:04:42,5,B
2024-01-31 17:46:05,17,C
2024-04-10 22:02:10,4,A
2024-05-06 13:33:05,2,A
2024-01-25 13:44:10,16,C
2024-05-22 23:12:45,19,C
2024-12-01 19:24:58,10,A
2024-06-18 22:19:04,2,C
2024-05-08 23:12:06,14,B
2024-01-16 10:03:12,19,C
2024-01-24 05:16:10,5,C
2024-04-07 15:31:35,2,A
2024-12-03 09:31:06,14,A
2024-12-26 09:22:18,8,A
2024-06-29 02:04:20,8,A
2024-01-20 09:31:53,15,A
2024-09-17 19:43:26,12,C
2024-06-28 09:10:32,20,A
2024-11-10 05:44:03,10,B
2024-04-19 01:48:25,2,A
2024-09-27 18:30:54,4,A
2024-05-27 18:47:44,1,A
2024-07-31 18:00:02,3,B
2024-11-05 22:33:39,13,B
2024-06-09 09:05:52,15,C
2024-03-09 14:34:00,0,B
2024-06-26 01:39:47,7,C
2024-07-22 18:32:11,12,B
2024-11-24 02:37:59,9,B
2024-06-27 09:43:21,20,C
2024-01-03 06:28:46,13,B
2024-11-07 10:27:31,20,C
2024-03-31 03:07:51,14,C
2024-09-27 22:25:18,1,C
2024-03-06 17:06:58,0,C
2024-02-24 20:57:34,5,C
2024-04-21 08:43:01,12,B
2024-01-21 00:12:25,10,B
2024-08-01 17:26:45,4,B
2024-03-01 11:30:57,12,C
2024-11-07 02:31:50,19,C
2024-06-29 12:50:09,20,B
2024-02-06 00:05:20,9,C
2024-07-01 01:50:16,12,C
2024-01-31 21:18:20,15,C
2024-08-24 16:55:05,19,A
2024-06-05 21:58:47,14,B
2024-10-05 05:40:27,19,C
2024-06-26 08:15:13,1,B
2024-03-15 20:12:51,13,B
2024-05-10 06:53:55,2,B
2024-12-25 14:46:25,2,A
2024-05-11 05:31:51,16,C
2024-02-14 04:05:54,17,C
2024-03-07 02:27:06,0,C
2024-01-06 21:50:43,15,C
2024-11-11 16:16:55,5,A
2024-05-22 11:51:52,13,C
2024-12-02 08:14:45,9,A
2024-09-02 23:57:25,17,B
2024-04-17 04:23:28,9,B
2024-03-18 13:43:43,13,A
2024-01-22 03:28:10,13,B
2024-10-31 06:22:29,10,C
2024-03-26 07:41:25,14,B
2024-12-09 06:52:46,17,C
2024-07-29 04:31:28,16,A
2024-02-11 03:23:09,0,A
2024-08-28 14:50:36,7,A
2024-11-14 13:20:23,3,B
2024-06-14 23:02:22,18,B
2024-12-20 12:29:20,3,A
2024-11-19 06:27:16,16,B
2024-12-17 05:24:45,9,A
2024-12-21 11:43:37,1,A
2024-11-25 17:32:55,0,C
2024-11-25 14:17:32,13,C
2024-08-13 10:21:07,5,C
2024-03-10 06:43:54,11,C
2024-06-06 01:01:29,8,B
2024-12-01 18:43:20,19,C
2024-01-01 08:21:33,17,B
